Comparing channel(s) YUV

           Mean               Max    Max             
         Absolute     Mean    Pos.   Neg.            
 Frame     Dev.       Dev.    Dev.   Dev.  PSNR (dB) 
   226   16.0643   -15.8059   43    -220     13.5276
   227   16.0638   -15.8065   39    -220     13.5275
   228   16.0639   -15.8062   39    -220     13.5275
   229   16.0637   -15.8070   39    -220     13.5275
   230   16.0638   -15.8062   39    -220     13.5276
   231   16.0639   -15.8066   39    -220     13.5275
   232   16.0636   -15.8065   38    -220     13.5275
   233   16.0636   -15.8070   38    -220     13.5275
   234   16.0635   -15.8062   38    -220     13.5275
   235   16.0634   -15.8067   38    -220     13.5275
   236   16.0630   -15.8064   38    -220     13.5275
   237   16.0631   -15.8067   38    -220     13.5275
   238   16.0637   -15.8062   38    -220     13.5275
   239   16.0640   -15.8070   38    -220     13.5275
   240   16.0637   -15.8067   38    -220     13.5275
   241   16.0632   -15.8070   38    -219     13.5276
   242   16.0632   -15.8068   38    -220     13.5276
   243   16.0633   -15.8070   38    -220     13.5275
   244   16.0635   -15.8066   38    -220     13.5275
   245   16.0635   -15.8068   38    -220     13.5275
   246   16.0633   -15.8066   38    -220     13.5275
   247   16.0634   -15.8071   38    -219     13.5275
   248   16.0636   -15.8065   38    -220     13.5275
   249   16.0635   -15.8066   38    -220     13.5276
   250   16.0634   -15.8064   38    -220     13.5276
   251   16.0635   -15.8067   38    -220     13.5276
   252   16.0637   -15.8061   38    -220     13.5275
   253   16.0634   -15.8064   38    -219     13.5275
   254   16.0631   -15.8061   38    -220     13.5276
   255   16.0636   -15.8068   38    -220     13.5275
   256   16.0636   -15.8069   38    -220     13.5276
   257   16.0635   -15.8071   38    -220     13.5275
   258    0.0000    +0.0000    0      0     96.9160
   259    0.0000    +0.0000    0      0     96.9160
   260    0.0000    +0.0000    0      0     96.9160
   261    0.0000    +0.0000    0      0     96.9160
   262    0.0000    +0.0000    0      0     96.9160
   263    0.0000    +0.0000    0      0     96.9160
   264    0.0000    +0.0000    0      0     96.9160
   265    0.0000    +0.0000    0      0     96.9160
   266    0.0000    +0.0000    0      0     96.9160
   267    0.0000    +0.0000    0      0     96.9160
   268    0.0000    +0.0000    0      0     96.9160
   269    0.0000    +0.0000    0      0     96.9160
   270    0.0000    +0.0000    0      0     96.9160
   271    0.0000    +0.0000    0      0     96.9160
   272    0.0000    +0.0000    0      0     96.9160
   273    0.0000    +0.0000    0      0     96.9160
   274    4.6793    -4.6087    4    -219     18.8841
   275    4.6792    -4.6087    4    -219     18.8841
   276    4.6792    -4.6088    4    -219     18.8841
   277    4.6796    -4.6091    6    -220     18.8842
   278    4.6796    -4.6090    7    -219     18.8841
   279    4.6796    -4.6090    7    -219     18.8841
   280    4.6796    -4.6090    7    -219     18.8841
   281    4.6796    -4.6090    7    -219     18.8841
   282    4.6796    -4.6090    7    -219     18.8841
   283    4.6796    -4.6090    7    -219     18.8841
   284    4.6796    -4.6090    7    -219     18.8841
   285    4.6796    -4.6090    7    -219     18.8841
   286    4.6796    -4.6090    7    -219     18.8841
   287    4.6796    -4.6090    7    -219     18.8841
   288    4.6796    -4.6090    7    -219     18.8841
   289    4.6796    -4.6090    7    -219     18.8841
   290    4.6796    -4.6090    7    -219     18.8841
   291    4.6796    -4.6090    7    -219     18.8841
   292    4.6796    -4.6090    7    -219     18.8841
   293    4.6796    -4.6090    7    -219     18.8841
   294    4.6795    -4.6089    7    -219     18.8841
   295    4.6795    -4.6089    7    -219     18.8841
   296    4.6795    -4.6089    7    -219     18.8841
   297    4.6796    -4.6089    7    -219     18.8841
   298    4.6795    -4.6089    7    -219     18.8841
   299    4.6795    -4.6089    7    -219     18.8841
   300    4.6795    -4.6089    7    -219     18.8841
   301    4.6796    -4.6089    7    -219     18.8841
   302    4.6796    -4.6089    7    -219     18.8841
   303    4.6796    -4.6089    7    -219     18.8841
   304    4.6796    -4.6089    7    -219     18.8841
   305    4.6793    -4.6088    5    -219     18.8841
   306    4.6793    -4.6088    5    -219     18.8841
   307    4.6793    -4.6088    5    -219     18.8841
   308    4.6793    -4.6088    5    -219     18.8841
   309    4.6793    -4.6088    5    -219     18.8841
   310    4.6793    -4.6088    5    -219     18.8841
   311    4.6793    -4.6088    5    -219     18.8841
   312    4.6793    -4.6088    5    -219     18.8841
   313    4.6793    -4.6088    5    -219     18.8841
   314    4.6792    -4.6088    5    -219     18.8841
   315    4.6793    -4.6089    5    -219     18.8841
   316    4.6793    -4.6088    5    -219     18.8841
   317    4.6793    -4.6089    5    -219     18.8841
   318    4.6793    -4.6089    5    -219     18.8841
   319    4.6793    -4.6089    5    -219     18.8841
   320    4.6793    -4.6089    5    -219     18.8841
   321    4.6793    -4.6089    5    -219     18.8841
   322    4.6792    -4.6088    5    -219     18.8841
   323    4.6793    -4.6089    5    -219     18.8841
   324    4.6793    -4.6089    5    -219     18.8841
   325    4.6793    -4.6089    5    -219     18.8841
   326    4.6792    -4.6089    5    -219     18.8841
